ST	clonal_complex	phylogroup	phylogroup_consistency	n_genomes	n_pks_pos	pks_fraction	n_clbS_pos
174	NA	NA	NA	9	0	0.0000	0
176	NA	NA	NA	18	0	0.0000	0
180	NA	NA	NA	4	0	0.0000	0
181	ST168_Cplx	NA	NA	7	0	0.0000	0
182	NA	D	1.000	19	0	0.0000	0
185	ST10_Cplx	NA	NA	1	0	0.0000	0
187	NA	NA	NA	19	0	0.0000	0
188	NA	NA	NA	3	0	0.0000	0
189	ST165_Cplx	NA	NA	36	0	0.0000	0
191	NA	NA	NA	10	0	0.0000	0
192	NA	NA	NA	13	0	0.0000	0
193	ST10_Cplx	NA	NA	3	0	0.0000	0
195	ST10_Cplx	NA	NA	1	0	0.0000	0
196	NA	NA	NA	47	0	0.0000	0
197	NA	NA	NA	1	0	0.0000	0
200	ST40_Cplx	B1	1.000	75	0	0.0000	0
201	ST469_Cplx	NA	NA	26	0	0.0000	0
202	NA	NA	NA	17	0	0.0000	0
205	ST205_Cplx	B1	1.000	50	0	0.0000	0
206	ST206_Cplx	A	1.000	78	0	0.0000	0
207	ST10_Cplx	NA	NA	3	0	0.0000	0
209	ST10_Cplx	NA	NA	4	0	0.0000	0
210	NA	NA	NA	15	0	0.0000	0
211	NA	NA	NA	1	0	0.0000	0
212	NA	NA	NA	21	0	0.0000	0
215	ST10_Cplx	NA	NA	6	0	0.0000	0
216	NA	NA	NA	52	0	0.0000	0
218	ST10_Cplx	A	1.000	25	0	0.0000	0
219	NA	NA	NA	8	0	0.0000	0
223	ST155_Cplx	B1	1.000	92	0	0.0000	0
224	NA	NA	NA	72	0	0.0000	0
226	ST226_Cplx	NA	NA	55	0	0.0000	2
227	ST10_Cplx	NA	NA	14	0	0.0000	3
243	ST243_Cplx	NA	NA	60	0	0.0000	0
245	ST245_Cplx	Shigella	1.000	639	0	0.0000	3
250	NA	NA	NA	5	0	0.0000	0
252	ST148_Cplx	NA	NA	2	0	0.0000	0
260	NA	NA	NA	36	0	0.0000	0
