ST	clonal_complex	phylogroup	phylogroup_consistency	n_genomes	n_pks_pos	pks_fraction	n_clbS_pos
1386	NA	NA	NA	6	0	0.0000	0
1394	ST31_Cplx	D	1.000	1	0	0.0000	0
1395	NA	NA	NA	1	0	0.0000	0
1396	NA	NA	NA	1	0	0.0000	0
1402	NA	NA	NA	1	0	0.0000	0
1403	NA	NA	NA	3	0	0.0000	0
1406	NA	NA	NA	5	0	0.0000	0
1408	NA	NA	NA	9	0	0.0000	0
1415	NA	NA	NA	7	0	0.0000	0
1421	NA	NA	NA	15	0	0.0000	0
1423	NA	B1	1.000	25	0	0.0000	0
1426	NA	NA	NA	1	0	0.0000	0
1429	NA	NA	NA	4	0	0.0000	0
1431	NA	B1	1.000	9	0	0.0000	0
1432	ST155_Cplx	NA	NA	5	0	0.0000	0
1433	NA	NA	NA	2	0	0.0000	0
1434	NA	NA	NA	23	0	0.0000	0
1441	NA	NA	NA	9	1	0.1111	1
1442	NA	B2	1.000	4	0	0.0000	0
1444	NA	NA	NA	12	0	0.0000	0
1459	NA	B2	1.000	2	0	0.0000	0
1463	NA	NA	NA	6	0	0.0000	0
1480	ST23_Cplx	NA	NA	1	0	0.0000	0
1483	NA	NA	NA	3	0	0.0000	0
1485	ST648_Cplx	F	1.000	13	0	0.0000	0
1486	NA	A	1.000	6	0	0.0000	0
1490	ST86_Cplx	B1	1.000	11	0	0.0000	0
1494	NA	NA	NA	2	0	0.0000	0
1497	NA	A	1.000	11	0	0.0000	0
1500	NA	NA	NA	3	0	0.0000	0
1502	NA	Shigella	1.000	19	0	0.0000	0
1503	ST152_Cplx	NA	NA	2	0	0.0000	0
1504	ST152_Cplx	NA	NA	6	0	0.0000	0
1505	ST152_Cplx	NA	NA	1	0	0.0000	0
1508	NA	NA	NA	8	0	0.0000	0
1510	NA	NA	NA	4	0	0.0000	0
1512	NA	NA	NA	1	0	0.0000	0
1513	ST243_Cplx	NA	NA	1	0	0.0000	0
1531	ST95_Cplx	B2	1.000	4	3	0.7500	3
1564	NA	NA	NA	11	0	0.0000	0
1567	NA	NA	NA	8	0	0.0000	0
1571	NA	NA	NA	5	0	0.0000	0
1572	NA	NA	NA	2	0	0.0000	0
1580	NA	NA	NA	1	0	0.0000	0
1582	NA	NA	NA	4	0	0.0000	0
1583	NA	NA	NA	3	0	0.0000	0
1585	NA	NA	NA	1	0	0.0000	0
1587	NA	NA	NA	1	0	0.0000	0
1588	NA	NA	NA	2	0	0.0000	0
1589	NA	NA	NA	7	0	0.0000	0
1594	NA	A	1.000	6	0	0.0000	0
1595	ST11_Cplx	E	1.000	1	0	0.0000	0
1597	NA	NA	NA	1	0	0.0000	0
1598	NA	NA	NA	2	0	0.0000	0
1602	NA	NA	NA	3	0	0.0000	0
1604	ST14_Cplx	B2	1.000	1	1	1.0000	1
1607	NA	NA	NA	1	0	0.0000	0
1610	NA	NA	NA	7	0	0.0000	0
1611	NA	NA	NA	43	0	0.0000	0
1613	NA	NA	NA	6	0	0.0000	0
1614	NA	NA	NA	1	0	0.0000	0
1618	ST73_Cplx	B2	1.000	19	19	1.0000	19
1619	ST95_Cplx	NA	NA	1	1	1.0000	1
1621	NA	NA	NA	3	0	0.0000	0
1623	NA	NA	NA	12	0	0.0000	0
1629	NA	NA	NA	3	0	0.0000	0
1630	NA	NA	NA	1	0	0.0000	0
1634	NA	NA	NA	1	0	0.0000	0
1638	ST10_Cplx	NA	NA	16	0	0.0000	0
1642	NA	NA	NA	5	0	0.0000	0
1643	NA	NA	NA	5	0	0.0000	0
1652	NA	NA	NA	2	0	0.0000	0
1656	NA	NA	NA	1	0	0.0000	0
1662	NA	NA	NA	6	0	0.0000	0
1663	ST73_Cplx	B2	1.000	2	2	1.0000	2
1664	NA	NA	NA	4	0	0.0000	0
1665	NA	NA	NA	16	0	0.0000	0
1670	NA	NA	NA	11	0	0.0000	0
1673	NA	NA	NA	2	0	0.0000	0
1674	NA	NA	NA	11	0	0.0000	0
1677	NA	NA	NA	1	0	0.0000	0
1679	NA	NA	NA	10	0	0.0000	0
1684	NA	A	1.000	14	0	0.0000	0
1703	NA	NA	NA	4	0	0.0000	0
1704	NA	NA	NA	2	0	0.0000	0
1705	ST29_Cplx	NA	NA	1	0	0.0000	0
1706	NA	NA	NA	14	0	0.0000	0
1715	NA	NA	NA	1	0	0.0000	0
1716	NA	NA	NA	2	0	0.0000	0
1717	NA	NA	NA	3	0	0.0000	0
1718	NA	NA	NA	2	0	0.0000	0
1720	ST86_Cplx	NA	NA	1	0	0.0000	0
1721	NA	NA	NA	13	0	0.0000	0
1722	NA	F	1.000	37	0	0.0000	1
1723	NA	NA	NA	6	0	0.0000	0
1724	NA	NA	NA	7	0	0.0000	0
1725	NA	NA	NA	1	0	0.0000	0
1726	NA	NA	NA	1	0	0.0000	0
1727	NA	NA	NA	50	0	0.0000	0
1730	NA	NA	NA	7	0	0.0000	0
1735	ST73_Cplx	NA	NA	3	3	1.0000	3
1737	ST205_Cplx	NA	NA	3	0	0.0000	0
1739	NA	NA	NA	3	0	0.0000	0
1743	NA	NA	NA	2	0	0.0000	0
1746	NA	NA	NA	1	0	0.0000	0
1750	NA	NA	NA	4	0	0.0000	0
1751	NA	NA	NA	1	0	0.0000	0
1753	ST245_Cplx	Shigella	1.000	13	0	0.0000	0
1759	ST147_Cplx	NA	NA	17	0	0.0000	0
1765	NA	NA	NA	4	0	0.0000	3
1766	NA	NA	NA	1	0	0.0000	0
1767	NA	NA	NA	4	0	0.0000	0
1769	ST245_Cplx	NA	NA	1	0	0.0000	0
1771	NA	NA	NA	4	0	0.0000	0
1777	NA	NA	NA	1	0	0.0000	0
1786	ST20_Cplx	B1	1.000	5	0	0.0000	0
1788	NA	A	1.000	3	0	0.0000	0
1791	NA	NA	NA	1	0	0.0000	0
1792	NA	B1	1.000	106	0	0.0000	0
1793	NA	NA	NA	1	0	0.0000	0
1794	NA	NA	NA	4	0	0.0000	0
1797	NA	NA	NA	1	0	0.0000	0
1798	NA	NA	NA	2	0	0.0000	0
1800	NA	NA	NA	10	0	0.0000	0
1804	ST11_Cplx	E	1.000	37	0	0.0000	0
1807	ST23_Cplx	NA	NA	4	0	0.0000	0
1817	NA	NA	NA	8	0	0.0000	0
1818	NA	NA	NA	3	0	0.0000	0
1819	NA	NA	NA	32	0	0.0000	0
1823	NA	NA	NA	4	0	0.0000	0
1829	NA	NA	NA	1	0	0.0000	0
1836	NA	NA	NA	1	0	0.0000	0
1844	NA	NA	NA	21	0	0.0000	0
1850	NA	NA	NA	3	0	0.0000	0
1851	NA	NA	NA	4	0	0.0000	0
1852	NA	NA	NA	4	0	0.0000	0
1858	ST14_Cplx	B2	1.000	5	2	0.4000	2
1859	NA	NA	NA	2	0	0.0000	0
1861	NA	NA	NA	3	1	0.3333	1
1865	NA	NA	NA	2	0	0.0000	0
1869	NA	NA	NA	1	0	0.0000	0
1870	NA	NA	NA	2	0	0.0000	0
1876	NA	NA	NA	1	0	0.0000	0
1877	NA	NA	NA	14	0	0.0000	0
1882	NA	NA	NA	5	0	0.0000	0
1884	NA	NA	NA	3	0	0.0000	0
1888	NA	NA	NA	1	0	0.0000	0
1889	NA	NA	NA	5	0	0.0000	0
1891	NA	NA	NA	1	0	0.0000	0
1892	NA	NA	NA	1	0	0.0000	0
1905	NA	NA	NA	1	0	0.0000	0
1907	NA	B2	1.000	6	0	0.0000	0
1914	NA	NA	NA	8	0	0.0000	0
1938	NA	NA	NA	1	0	0.0000	0
1944	NA	NA	NA	1	0	0.0000	0
1946	ST568_Cplx	B2	1.000	5	0	0.0000	0
1951	NA	NA	NA	1	0	0.0000	0
1967	ST20_Cplx	B1	1.000	181	0	0.0000	0
1970	NA	NA	NA	1	0	0.0000	0
1972	NA	A	1.000	4	0	0.0000	0
1973	NA	NA	NA	2	0	0.0000	0
1979	ST73_Cplx	B2	1.000	1	1	1.0000	1
1982	ST131_Cplx	NA	NA	1	0	0.0000	0
1988	ST448_Cplx	NA	NA	8	0	0.0000	0
1992	NA	NA	NA	9	0	0.0000	0
1993	NA	NA	NA	3	2	0.6667	3
1994	NA	NA	NA	1	0	0.0000	0
2001	NA	NA	NA	1	0	0.0000	0
2002	NA	NA	NA	1	0	0.0000	0
2003	ST38_Cplx	NA	NA	1	0	0.0000	0
2005	NA	NA	NA	13	0	0.0000	0
2008	NA	NA	NA	11	0	0.0000	0
2013	ST73_Cplx	B2	1.000	3	3	1.0000	3
2014	NA	NA	NA	2	0	0.0000	0
2015	NA	B2	1.000	37	34	0.9189	37
2016	ST205_Cplx	NA	NA	2	0	0.0000	0
2017	NA	NA	NA	2	0	0.0000	0
2020	NA	D	1.000	1	0	0.0000	0
2025	ST155_Cplx	NA	NA	20	0	0.0000	0
2026	NA	NA	NA	1	0	0.0000	0
2035	NA	NA	NA	8	0	0.0000	0
2040	NA	NA	NA	13	0	0.0000	0
2041	NA	NA	NA	2	0	0.0000	0
2063	NA	NA	NA	2	0	0.0000	0
2064	NA	NA	NA	3	0	0.0000	0
2067	NA	B1	1.000	10	0	0.0000	1
2070	NA	NA	NA	1	0	0.0000	0
2073	NA	NA	NA	6	0	0.0000	0
2074	NA	NA	NA	5	0	0.0000	0
2076	NA	NA	NA	2	0	0.0000	0
2077	NA	NA	NA	6	0	0.0000	0
2079	NA	NA	NA	9	0	0.0000	0
2083	NA	NA	NA	1	0	0.0000	0
2086	NA	NA	NA	3	0	0.0000	0
2088	NA	NA	NA	2	0	0.0000	0
2089	NA	NA	NA	9	0	0.0000	0
2101	NA	NA	NA	6	0	0.0000	0
2103	NA	NA	NA	3	0	0.0000	0
2111	NA	NA	NA	7	0	0.0000	0
2139	NA	NA	NA	1	0	0.0000	0
2141	NA	NA	NA	1	0	0.0000	0
2144	NA	NA	NA	18	0	0.0000	0
2160	ST205_Cplx	NA	NA	1	0	0.0000	0
2161	NA	NA	NA	22	0	0.0000	0
2163	NA	NA	NA	7	0	0.0000	0
2164	NA	NA	NA	2	0	0.0000	0
2165	NA	NA	NA	25	0	0.0000	0
2166	NA	NA	NA	3	0	0.0000	0
2169	NA	NA	NA	1	0	0.0000	0
2170	NA	NA	NA	1	0	0.0000	0
2171	NA	NA	NA	6	0	0.0000	0
2172	NA	NA	NA	1	0	0.0000	0
2175	NA	NA	NA	19	0	0.0000	0
2178	NA	NA	NA	56	0	0.0000	0
2179	NA	NA	NA	13	0	0.0000	0
2184	ST350_Cplx	NA	NA	1	0	0.0000	0
2186	NA	NA	NA	10	0	0.0000	0
2200	NA	NA	NA	6	0	0.0000	0
2201	NA	NA	NA	1	0	0.0000	0
2207	NA	NA	NA	3	0	0.0000	0
2217	NA	NA	NA	20	0	0.0000	0
2223	NA	NA	NA	12	0	0.0000	0
2226	NA	NA	NA	1	0	0.0000	0
2230	ST23_Cplx	C	1.000	4	0	0.0000	0
2248	NA	NA	NA	10	0	0.0000	0
2253	NA	A	1.000	2	0	0.0000	0
2272	ST23_Cplx	NA	NA	1	0	0.0000	0
2278	ST131_Cplx	NA	NA	1	0	0.0000	0
2279	ST131_Cplx	NA	NA	9	0	0.0000	0
2280	NA	NA	NA	10	0	0.0000	0
2283	NA	NA	NA	1	0	0.0000	0
2307	NA	B1	1.000	11	0	0.0000	0
2308	NA	NA	NA	2	0	0.0000	0
2309	ST38_Cplx	NA	NA	1	0	0.0000	0
2320	NA	NA	NA	1	0	0.0000	0
2325	NA	NA	NA	18	0	0.0000	0
2328	NA	NA	NA	7	0	0.0000	0
2329	NA	NA	NA	1	0	0.0000	0
2332	NA	A	1.000	21	0	0.0000	0
2338	NA	NA	NA	2	0	0.0000	0
2346	NA	B2	1.000	16	0	0.0000	0
2348	ST405_Cplx	NA	NA	4	0	0.0000	0
2349	NA	NA	NA	1	0	0.0000	0
2350	NA	NA	NA	1	0	0.0000	0
2351	NA	NA	NA	4	0	0.0000	0
2353	NA	NA	NA	11	0	0.0000	0
2354	NA	NA	NA	9	0	0.0000	0
2356	NA	B2	1.000	4	0	0.0000	0
2368	NA	A	1.000	1	0	0.0000	0
2380	NA	NA	NA	1	0	0.0000	0
2385	NA	NA	NA	10	0	0.0000	0
2387	NA	NA	NA	11	0	0.0000	0
2388	NA	NA	NA	10	0	0.0000	0
2389	NA	NA	NA	10	0	0.0000	0
2425	NA	NA	NA	6	0	0.0000	0
2450	NA	NA	NA	1	0	0.0000	0
2458	NA	NA	NA	3	0	0.0000	0
2461	NA	NA	NA	2	0	0.0000	0
2465	NA	NA	NA	1	0	0.0000	0
2467	NA	NA	NA	1	0	0.0000	0
2473	NA	NA	NA	2	0	0.0000	0
2474	NA	NA	NA	3	0	0.0000	0
2485	NA	NA	NA	8	0	0.0000	0
2491	NA	NA	NA	6	0	0.0000	0
2494	NA	B2	1.000	3	0	0.0000	0
2498	NA	NA	NA	1	0	0.0000	0
2514	NA	NA	NA	3	0	0.0000	0
2515	NA	NA	NA	2	0	0.0000	0
2517	NA	NA	NA	1	0	0.0000	0
2520	NA	NA	NA	12	0	0.0000	0
2521	NA	NA	NA	32	0	0.0000	0
2522	NA	NA	NA	23	0	0.0000	0
2524	NA	NA	NA	2	0	0.0000	0
2526	NA	B1	1.000	1	0	0.0000	0
2531	NA	NA	NA	4	0	0.0000	0
2532	NA	NA	NA	1	0	0.0000	0
2536	NA	NA	NA	3	0	0.0000	0
2538	NA	D	1.000	8	0	0.0000	0
2539	ST205_Cplx	NA	NA	3	0	0.0000	0
2541	NA	NA	NA	5	0	0.0000	0
2550	NA	NA	NA	4	0	0.0000	0
2552	NA	NA	NA	1	0	0.0000	0
2554	NA	NA	NA	6	0	0.0000	0
2556	NA	NA	NA	4	0	0.0000	0
2557	NA	NA	NA	3	0	0.0000	0
2562	NA	NA	NA	3	0	0.0000	0
2567	NA	NA	NA	1	0	0.0000	0
2569	NA	NA	NA	6	0	0.0000	0
2581	ST131_Cplx	NA	NA	1	0	0.0000	0
2585	NA	NA	NA	3	0	0.0000	0
2589	NA	NA	NA	1	0	0.0000	0
2590	NA	NA	NA	1	0	0.0000	0
2598	NA	NA	NA	8	0	0.0000	0
2599	NA	NA	NA	2	0	0.0000	0
2600	NA	NA	NA	1	0	0.0000	0
2601	NA	NA	NA	1	0	0.0000	0
2602	NA	NA	NA	7	0	0.0000	0
2604	ST12_Cplx	NA	NA	4	4	1.0000	4
2607	NA	NA	NA	5	0	0.0000	0
2608	NA	NA	NA	1	0	0.0000	0
2612	NA	NA	NA	2	0	0.0000	0
2614	NA	NA	NA	4	0	0.0000	0
2617	ST59_Cplx	NA	NA	11	0	0.0000	0
2618	ST59_Cplx	F	1.000	2	0	0.0000	0
2619	ST95_Cplx	B2	1.000	36	29	0.8056	32
2622	NA	NA	NA	10	0	0.0000	0
2626	NA	NA	NA	3	0	0.0000	0
2628	NA	NA	NA	3	0	0.0000	0
2639	ST131_Cplx	NA	NA	1	0	0.0000	0
2650	NA	NA	NA	5	0	0.0000	0
2659	ST38_Cplx	NA	NA	2	0	0.0000	0
2673	NA	NA	NA	1	0	0.0000	0
2675	NA	NA	NA	4	0	0.0000	0
2678	NA	NA	NA	5	0	0.0000	0
2689	NA	NA	NA	2	0	0.0000	0
2690	NA	NA	NA	4	0	0.0000	0
2705	NA	NA	NA	25	0	0.0000	0
2711	NA	NA	NA	1	0	0.0000	0
2712	NA	NA	NA	1	0	0.0000	0
2713	NA	NA	NA	1	0	0.0000	0
2714	NA	NA	NA	7	0	0.0000	0
2715	NA	NA	NA	10	0	0.0000	0
2722	ST205_Cplx	NA	NA	4	0	0.0000	0
2723	NA	NA	NA	5	0	0.0000	0
2728	NA	NA	NA	3	0	0.0000	0
2732	NA	NA	NA	2	0	0.0000	0
2739	NA	NA	NA	1	0	0.0000	0
2741	NA	NA	NA	1	0	0.0000	0
2772	NA	NA	NA	5	0	0.0000	0
2773	NA	B1	1.000	11	0	0.0000	0
2778	NA	NA	NA	2	0	0.0000	0
2781	NA	NA	NA	1	0	0.0000	0
2785	NA	NA	NA	2	0	0.0000	0
2792	NA	NA	NA	7	0	0.0000	0
2795	NA	NA	NA	15	0	0.0000	0
2797	NA	NA	NA	3	0	0.0000	0
2800	NA	NA	NA	3	0	0.0000	0
2802	NA	F	1.000	4	0	0.0000	0
2803	NA	NA	NA	1	0	0.0000	0
2808	NA	NA	NA	8	0	0.0000	0
2811	NA	NA	NA	7	0	0.0000	0
2836	NA	NA	NA	43	0	0.0000	0
2847	NA	NA	NA	1	0	0.0000	0
2851	NA	NA	NA	2	0	0.0000	0
2852	NA	NA	NA	5	0	0.0000	0
2853	NA	NA	NA	1	0	0.0000	0
2913	ST206_Cplx	NA	NA	1	0	0.0000	0
2914	ST349_Cplx	D	1.000	13	0	0.0000	0
2935	NA	NA	NA	4	4	1.0000	4
2936	NA	NA	NA	3	0	0.0000	0
2946	NA	NA	NA	1	0	0.0000	0
2952	NA	NA	NA	20	0	0.0000	0
2959	NA	NA	NA	3	0	0.0000	0
2964	NA	NA	NA	1	0	0.0000	0
2967	NA	A	1.000	6	0	0.0000	0
2973	NA	NA	NA	10	0	0.0000	0
3006	NA	NA	NA	1	0	0.0000	0
3014	NA	NA	NA	1	0	0.0000	0
3017	NA	NA	NA	1	0	0.0000	0
3018	NA	NA	NA	18	0	0.0000	0
3021	NA	A	1.000	6	0	0.0000	0
3022	NA	NA	NA	1	0	0.0000	0
3032	NA	NA	NA	2	0	0.0000	0
3033	NA	NA	NA	4	0	0.0000	0
3036	NA	NA	NA	2	0	0.0000	0
3042	NA	NA	NA	2	0	0.0000	0
3051	NA	NA	NA	2	0	0.0000	0
3052	ST38_Cplx	NA	NA	3	0	0.0000	0
3053	NA	B2	1.000	5	0	0.0000	0
3056	NA	NA	NA	1	0	0.0000	0
3057	NA	NA	NA	21	0	0.0000	0
3075	NA	NA	NA	4	0	0.0000	0
3076	NA	NA	NA	1	0	0.0000	0
3090	NA	NA	NA	9	0	0.0000	0
3101	ST23_Cplx	NA	NA	16	0	0.0000	0
3107	NA	NA	NA	14	0	0.0000	0
3168	NA	NA	NA	1	0	0.0000	0
3177	ST648_Cplx	NA	NA	1	0	0.0000	0
3188	NA	B1	1.000	8	0	0.0000	0
3190	NA	NA	NA	2	0	0.0000	0
3202	NA	NA	NA	11	0	0.0000	0
3203	NA	NA	NA	1	0	0.0000	0
3232	NA	NA	NA	4	0	0.0000	0
3233	NA	NA	NA	4	0	0.0000	0
3234	NA	NA	NA	3	1	0.3333	1
3246	NA	NA	NA	9	0	0.0000	0
3247	NA	NA	NA	2	0	0.0000	0
3258	NA	NA	NA	1	0	0.0000	0
3268	ST38_Cplx	NA	NA	81	0	0.0000	0
3274	NA	NA	NA	2	0	0.0000	0
3281	NA	NA	NA	2	0	0.0000	0
3285	NA	NA	NA	2	0	0.0000	0
3288	NA	NA	NA	1	0	0.0000	0
3290	NA	F	1.000	3	0	0.0000	0
3301	NA	NA	NA	1	0	0.0000	0
3304	NA	NA	NA	3	0	0.0000	0
3312	NA	NA	NA	3	3	1.0000	3
3321	ST86_Cplx	NA	NA	3	0	0.0000	0
3322	ST86_Cplx	NA	NA	3	0	0.0000	0
3331	NA	NA	NA	10	0	0.0000	0
3339	NA	NA	NA	1	0	0.0000	0
3352	ST12_Cplx	B2	1.000	1	1	1.0000	1
3381	NA	NA	NA	8	0	0.0000	0
3476	NA	NA	NA	3	0	0.0000	0
3478	NA	NA	NA	2	0	0.0000	0
3489	NA	NA	NA	7	0	0.0000	0
3494	NA	NA	NA	1	0	0.0000	0
3497	NA	NA	NA	2	0	0.0000	0
3514	NA	NA	NA	1	0	0.0000	0
3519	NA	NA	NA	4	0	0.0000	0
3520	NA	NA	NA	1	0	0.0000	0
3524	NA	NA	NA	2	0	0.0000	0
3525	NA	NA	NA	1	0	0.0000	0
3541	NA	NA	NA	1	0	0.0000	0
3546	NA	NA	NA	3	0	0.0000	0
3558	NA	NA	NA	1	0	0.0000	0
3559	NA	NA	NA	2	0	0.0000	0
3564	NA	NA	NA	4	0	0.0000	0
3570	NA	NA	NA	7	0	0.0000	0
3573	NA	NA	NA	1	0	0.0000	0
3576	NA	NA	NA	11	0	0.0000	0
3580	NA	NA	NA	88	0	0.0000	0
3586	NA	NA	NA	3	0	0.0000	0
3593	NA	NA	NA	3	0	0.0000	0
3594	NA	NA	NA	2	0	0.0000	0
3601	NA	NA	NA	10	0	0.0000	0
3602	NA	NA	NA	2	0	0.0000	0
3604	NA	NA	NA	1	0	0.0000	0
3607	NA	NA	NA	2	0	0.0000	0
3625	NA	NA	NA	2	0	0.0000	0
3631	NA	NA	NA	1	0	0.0000	0
3640	NA	NA	NA	6	0	0.0000	0
3666	ST38_Cplx	NA	NA	5	0	0.0000	0
3672	NA	NA	NA	9	0	0.0000	0
3692	NA	NA	NA	3	0	0.0000	0
3693	NA	NA	NA	2	0	0.0000	0
3695	NA	NA	NA	14	0	0.0000	0
3696	NA	NA	NA	2	0	0.0000	0
3699	NA	NA	NA	1	1	1.0000	1
3700	NA	NA	NA	1	0	0.0000	0
3703	NA	NA	NA	5	0	0.0000	0
3711	ST354_Cplx	NA	NA	3	0	0.0000	0
3714	NA	NA	NA	3	0	0.0000	0
3721	NA	NA	NA	9	0	0.0000	0
3723	NA	NA	NA	2	0	0.0000	0
3744	NA	NA	NA	4	0	0.0000	0
3748	NA	NA	NA	1	0	0.0000	0
3752	NA	NA	NA	3	0	0.0000	0
3759	NA	NA	NA	3	0	0.0000	0
3764	NA	NA	NA	2	0	0.0000	0
3770	NA	NA	NA	1	0	0.0000	0
3778	NA	NA	NA	3	0	0.0000	0
3782	NA	NA	NA	2	0	0.0000	0
3853	NA	B1	1.000	5	0	0.0000	0
3854	NA	NA	NA	3	0	0.0000	0
3855	NA	B1	1.000	3	0	0.0000	0
3856	NA	NA	NA	3	0	0.0000	0
3857	ST86_Cplx	B1	1.000	2	0	0.0000	0
3858	ST86_Cplx	B1	1.000	1	0	0.0000	0
3859	NA	NA	NA	1	0	0.0000	0
3862	NA	B1	1.000	2	0	0.0000	0
3863	NA	B1	1.000	6	0	0.0000	0
3864	ST23_Cplx	A	1.000	6	0	0.0000	0
3871	NA	NA	NA	1	0	0.0000	0
3873	NA	NA	NA	1	0	0.0000	0
3877	NA	NA	NA	2	0	0.0000	0
3889	NA	NA	NA	1	0	0.0000	0
3897	NA	NA	NA	1	0	0.0000	0
3902	NA	NA	NA	1	0	0.0000	0
3910	NA	NA	NA	12	0	0.0000	0
3924	NA	NA	NA	2	0	0.0000	0
3930	NA	NA	NA	2	0	0.0000	0
3931	NA	A	1.000	2	0	0.0000	0
3933	NA	NA	NA	1	0	0.0000	0
3941	NA	NA	NA	2	0	0.0000	0
3997	NA	NA	NA	1	0	0.0000	0
3998	NA	NA	NA	2	0	0.0000	0
4012	NA	NA	NA	1	0	0.0000	0
4015	NA	NA	NA	3	0	0.0000	0
4017	NA	NA	NA	1	0	0.0000	0
4035	NA	NA	NA	4	0	0.0000	0
4038	NA	NA	NA	30	0	0.0000	0
4040	NA	NA	NA	41	0	0.0000	0
4045	NA	NA	NA	1	0	0.0000	0
4053	NA	NA	NA	1	0	0.0000	0
4058	NA	NA	NA	9	0	0.0000	0
4060	NA	NA	NA	5	0	0.0000	0
4080	NA	NA	NA	4	0	0.0000	0
4087	NA	NA	NA	9	0	0.0000	0
4088	NA	NA	NA	1	0	0.0000	0
4092	NA	NA	NA	1	0	0.0000	0
4093	NA	NA	NA	2	0	0.0000	0
4101	ST582_Cplx	NA	NA	3	0	0.0000	0
4110	NA	NA	NA	2	0	0.0000	0
4118	NA	NA	NA	1	0	0.0000	0
4119	ST28_Cplx	NA	NA	1	0	0.0000	0
4134	NA	NA	NA	3	0	0.0000	0
4151	NA	NA	NA	2	0	0.0000	0
4153	NA	NA	NA	1	0	0.0000	0
4162	ST155_Cplx	NA	NA	3	0	0.0000	0
4175	NA	NA	NA	3	0	0.0000	0
4179	NA	NA	NA	1	0	0.0000	0
4197	NA	NA	NA	2	0	0.0000	0
4198	NA	NA	NA	5	0	0.0000	0
4213	NA	NA	NA	9	0	0.0000	0
4214	NA	NA	NA	1	0	0.0000	0
4221	NA	NA	NA	1	0	0.0000	0
4225	NA	NA	NA	1	0	0.0000	0
4238	NA	NA	NA	2	0	0.0000	0
4243	NA	NA	NA	1	0	0.0000	0
4247	NA	NA	NA	2	0	0.0000	0
4248	NA	NA	NA	1	0	0.0000	0
4260	NA	B2	1.000	3	0	0.0000	0
4267	NA	NA	NA	14	0	0.0000	0
4268	NA	NA	NA	2	0	0.0000	0
4289	NA	NA	NA	1	0	0.0000	0
4296	NA	NA	NA	1	0	0.0000	0
4305	NA	A	1.000	3	0	0.0000	0
4306	NA	NA	NA	3	0	0.0000	0
4358	NA	NA	NA	3	0	0.0000	0
4360	ST469_Cplx	NA	NA	3	0	0.0000	0
4377	NA	NA	NA	1	0	0.0000	0
4381	NA	NA	NA	8	0	0.0000	0
4382	NA	NA	NA	3	0	0.0000	0
4385	ST86_Cplx	NA	NA	1	0	0.0000	0
4389	NA	NA	NA	1	0	0.0000	0
4398	NA	NA	NA	1	0	0.0000	0
4421	NA	NA	NA	2	0	0.0000	0
4424	NA	NA	NA	10	0	0.0000	0
4429	NA	NA	NA	2	0	0.0000	0
4434	NA	NA	NA	1	0	0.0000	0
4450	NA	NA	NA	20	0	0.0000	0
4456	NA	NA	NA	7	0	0.0000	0
4467	NA	NA	NA	1	0	0.0000	0
4481	NA	NA	NA	5	0	0.0000	0
4493	NA	NA	NA	2	0	0.0000	0
4496	NA	NA	NA	22	0	0.0000	0
4512	NA	NA	NA	9	0	0.0000	0
4516	NA	NA	NA	1	0	0.0000	0
4532	NA	NA	NA	3	0	0.0000	0
4535	ST206_Cplx	NA	NA	1	0	0.0000	0
4537	NA	NA	NA	3	0	0.0000	0
4550	NA	B1	1.000	14	0	0.0000	0
4553	ST648_Cplx	NA	NA	3	0	0.0000	0
4554	NA	B2	1.000	24	0	0.0000	0
4566	NA	NA	NA	2	0	0.0000	0
4567	NA	NA	NA	3	0	0.0000	0
4568	NA	NA	NA	1	0	0.0000	0
4576	NA	NA	NA	1	0	0.0000	0
4578	NA	NA	NA	1	0	0.0000	0
4580	NA	NA	NA	3	0	0.0000	0
4590	ST165_Cplx	NA	NA	1	0	0.0000	1
4594	NA	NA	NA	2	0	0.0000	0
4598	NA	NA	NA	3	0	0.0000	0
4612	NA	NA	NA	11	0	0.0000	0
4623	NA	NA	NA	4	0	0.0000	0
4624	NA	NA	NA	4	0	0.0000	0
4627	ST270_Cplx	NA	NA	2	0	0.0000	0
4656	NA	NA	NA	2	0	0.0000	0
4663	NA	NA	NA	7	0	0.0000	0
4681	ST469_Cplx	NA	NA	4	0	0.0000	0
4682	NA	NA	NA	3	0	0.0000	0
4684	NA	NA	NA	52	0	0.0000	0
4702	ST12_Cplx	B2	1.000	1	1	1.0000	1
4704	NA	NA	NA	2	0	0.0000	0
4712	NA	NA	NA	4	0	0.0000	0
4713	ST131_Cplx	NA	NA	1	0	0.0000	0
4732	NA	NA	NA	2	0	0.0000	0
4733	NA	NA	NA	1	0	0.0000	0
4738	NA	NA	NA	3	0	0.0000	0
4741	NA	NA	NA	12	0	0.0000	0
4748	NA	B1	1.000	21	0	0.0000	0
4750	NA	B1	1.000	1	0	0.0000	0
4767	NA	NA	NA	2	0	0.0000	0
4774	NA	NA	NA	1	0	0.0000	0
4942	NA	B1	1.000	23	0	0.0000	0
4959	NA	NA	NA	15	0	0.0000	0
4977	NA	NA	NA	1	0	0.0000	0
4980	NA	NA	NA	14	0	0.0000	0
4981	NA	NA	NA	1	0	0.0000	0
4993	NA	NA	NA	2	0	0.0000	0
4994	NA	NA	NA	1	0	0.0000	0
4995	NA	NA	NA	11	0	0.0000	0
